acidity_id;wine_id;fixed_acidity;volatile_acidity;citric_acid
1;1;7.4;0.7;0.0
2;2;7.8;0.88;0.0
3;3;7.8;0.76;0.04
4;4;11.2;0.28;0.56
5;5;7.4;0.66;0.0
6;6;7.9;0.6;0.06
7;7;7.3;0.65;0.0
8;8;7.8;0.58;0.02
9;9;7.5;0.5;0.36
10;10;6.7;0.58;0.08
11;11;5.6;0.615;0.0
12;12;7.8;0.61;0.29
13;13;8.9;0.62;0.18
14;14;8.9;0.62;0.19
15;15;8.5;0.28;0.56
16;16;8.1;0.56;0.28
17;17;7.4;0.59;0.08
18;18;7.9;0.32;0.51
19;19;8.9;0.22;0.48
20;20;7.6;0.39;0.31
21;21;7.9;0.43;0.21
22;22;8.5;0.49;0.11
23;23;6.9;0.4;0.14
24;24;6.3;0.39;0.16
25;25;7.6;0.41;0.24
26;26;7.1;0.71;0.0
27;27;7.8;0.645;0.0
28;28;6.7;0.675;0.07
29;29;6.9;0.685;0.0
30;30;8.3;0.655;0.12
31;31;6.9;0.605;0.12
32;32;5.2;0.32;0.25
33;33;7.8;0.645;0.0
34;34;7.8;0.6;0.14
35;35;8.1;0.38;0.28
36;36;5.7;1.13;0.09
37;37;7.3;0.45;0.36
38;38;8.8;0.61;0.3
39;39;7.5;0.49;0.2
40;40;8.1;0.66;0.22
41;41;6.8;0.67;0.02
42;42;4.6;0.52;0.15
43;43;7.7;0.935;0.43
44;44;8.7;0.29;0.52
45;45;6.4;0.4;0.23
46;46;5.6;0.31;0.37
47;47;8.8;0.66;0.26
48;48;6.6;0.52;0.04
49;49;6.6;0.5;0.04
50;50;8.6;0.38;0.36
51;51;7.6;0.51;0.15
52;52;7.7;0.62;0.04
53;53;10.2;0.42;0.57
54;54;7.5;0.63;0.12
55;55;7.8;0.59;0.18
56;56;7.3;0.39;0.31
57;57;8.8;0.4;0.4
58;58;7.7;0.69;0.49
59;59;7.5;0.52;0.16
60;60;7.0;0.735;0.05
61;61;7.2;0.725;0.05
62;62;7.5;0.52;0.11
63;63;6.6;0.705;0.07
64;64;9.3;0.32;0.57
65;65;8.0;0.705;0.05
66;66;7.7;0.63;0.08
67;67;7.7;0.67;0.23
68;68;7.7;0.69;0.22
69;69;8.3;0.675;0.26
