comp_id;wine_id;residual_sugar;chlorides;sulphates
1;1;1.9;0.076;0.56
2;2;2.6;0.098;0.68
3;3;2.3;0.092;0.65
4;4;1.9;0.075;0.58
5;5;1.8;0.075;0.56
6;6;1.6;0.069;0.46
7;7;1.2;0.065;0.47
8;8;2.0;0.073;0.57
9;9;6.1;0.071;0.8
10;10;1.8;0.097;0.54
11;11;1.6;0.089;0.52
12;12;1.6;0.114;1.56
13;13;3.8;0.176;0.88
14;14;3.9;0.17;0.93
15;15;1.8;0.092;0.75
16;16;1.7;0.368;1.28
17;17;4.4;0.086;0.5
18;18;1.8;0.341;1.08
19;19;1.8;0.077;0.53
20;20;2.3;0.082;0.65
21;21;1.6;0.106;0.91
22;22;2.3;0.084;0.53
23;23;2.4;0.085;0.63
24;24;1.4;0.08;0.56
25;25;1.8;0.08;0.59
26;26;1.9;0.08;0.55
27;27;2.0;0.082;0.59
28;28;2.4;0.089;0.54
29;29;2.5;0.105;0.57
30;30;2.3;0.083;0.66
31;31;10.7;0.073;0.52
32;32;1.8;0.103;0.55
33;33;5.5;0.086;0.55
34;34;2.4;0.086;0.6
35;35;2.1;0.066;0.73
36;36;1.5;0.172;0.48
37;37;5.9;0.074;0.83
38;38;2.8;0.088;0.51
39;39;2.6;0.332;0.9
40;40;2.2;0.069;1.2
41;41;1.8;0.05;0.52
42;42;2.1;0.054;0.56
43;43;2.2;0.114;0.73
44;44;1.6;0.113;0.58
45;45;1.6;0.066;0.56
46;46;1.4;0.074;0.58
47;47;1.7;0.074;0.74
48;48;2.2;0.069;0.63
49;49;2.1;0.068;0.64
50;50;3.0;0.081;0.56
51;51;2.8;0.11;0.63
52;52;3.8;0.084;0.53
53;53;3.4;0.07;0.63
54;54;5.1;0.111;0.77
55;55;2.3;0.076;0.59
56;56;2.4;0.074;0.54
57;57;2.2;0.079;0.64
58;58;1.8;0.115;0.71
59;59;1.9;0.085;0.62
60;60;2.0;0.081;0.57
61;61;4.65;0.086;0.39
62;62;1.5;0.079;0.58
63;63;1.6;0.076;0.58
64;64;2.0;0.074;0.79
65;65;1.9;0.074;0.95
66;66;1.9;0.076;0.54
67;67;2.1;0.088;0.48
68;68;1.9;0.084;0.48
69;69;2.1;0.084;0.53
70;70;2.5;0.094;0.82
71;71;2.2;0.093;0.66
72;72;2.4;0.104;0.55
73;73;2.0;0.086;0.52
74;74;1.5;0.08;1.12
75;75;1.6;0.069;0.56
76;76;1.9;0.464;1.28
77;77;2.0;0.086;0.57
78;78;1.8;0.401;1.14
79;79;1.8;0.069;0.78
80;80;2.2;0.076;0.59
81;81;1.9;0.11;1.95
82;82;1.9;0.062;0.64
83;83;2.1;0.107;1.22
84;84;1.8;0.076;0.53
85;85;1.9;0.079;0.54
86;86;2.0;0.11;1.98
87;87;1.4;0.045;0.48
88;88;2.3;0.058;0.6
89;89;3.0;0.102;0.56
90;90;2.0;0.07;0.63
91;91;2.5;0.079;0.56
92;92;1.9;0.08;0.59
93;93;2.1;0.084;0.61
94;94;1.9;0.075;0.56
95;95;2.1;0.077;0.51
96;96;2.2;0.07;0.48
97;97;1.7;0.467;1.31
98;98;1.7;0.088;0.79
