wine_id;alcohol;density;pH;quality
1;9.4;0.9978;3.51;5
2;9.8;0.9968;3.2;5
3;9.8;0.997;3.26;5
4;9.8;0.998;3.16;6
5;9.4;0.9978;3.51;5
6;9.4;0.9964;3.3;5
7;10.0;0.9946;3.39;7
8;9.5;0.9968;3.36;7
9;10.5;0.9978;3.35;5
10;9.2;0.9959;3.28;5
11;9.9;0.9943;3.58;5
12;9.1;0.9974;3.26;5
13;9.2;0.9986;3.16;5
14;9.2;0.9986;3.17;5
15;10.5;0.9969;3.3;7
16;9.3;0.9968;3.11;5
17;9.0;0.9974;3.38;4
18;9.2;0.9969;3.04;6
19;9.4;0.9968;3.39;6
20;9.7;0.9982;3.52;5
21;9.5;0.9966;3.17;5
22;9.4;0.9968;3.17;5
23;9.7;0.9968;3.43;6
24;9.3;0.9955;3.34;5
25;9.5;0.9962;3.28;5
26;9.4;0.9972;3.47;5
27;9.8;0.9964;3.38;6
28;10.1;0.9958;3.35;5
29;10.6;0.9966;3.46;6
30;9.8;0.9966;3.17;5
31;9.4;0.9993;3.45;6
32;9.2;0.9957;3.38;5
33;9.6;0.9986;3.4;6
34;10.8;0.9975;3.42;6
35;9.7;0.9968;3.23;7
36;9.8;0.994;3.5;4
37;10.5;0.9978;3.33;5
38;9.3;0.9976;3.26;4
39;10.5;0.9968;3.21;6
40;10.3;0.9968;3.3;5
41;9.5;0.9962;3.48;5
42;13.1;0.9934;3.9;4
43;9.2;0.997;3.25;5
44;9.5;0.9969;3.25;5
45;9.2;0.9958;3.34;5
46;9.2;0.9954;3.32;5
47;9.2;0.9971;3.15;5
48;9.4;0.9956;3.4;6
49;9.4;0.9955;3.39;6
50;9.4;0.997;3.2;5
51;10.2;0.9955;3.17;6
52;9.5;0.9978;3.34;5
53;9.6;0.9971;3.04;5
54;9.4;0.9983;3.26;5
55;10.0;0.9975;3.43;5
56;9.4;0.9962;3.41;6
57;9.2;0.998;3.44;5
58;9.3;0.9968;3.21;5
